Ref,Val,Package,PosX,PosY,Rot,Side
"D1","VSMB1940X01","LED_0805_2012Metric",5.500000,-10.500000,0.000000,top
"J4","JST GH LED","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",5.500000,-3.500000,0.000000,top
"R1","39R","R_0603_1608Metric",11.500000,-7.000000,90.000000,top
